Logistic Regression Classifier
training step, window size, accuracy, recall
1000, 1100, 1.0, 0.0
1100, 1200, 1.0, 0.0
1200, 1300, 1.0, 0.0
1300, 1400, 1.0, 0.0
1400, 1500, 1.0, 0.0
1500, 1600, 1.0, 0.0
1600, 1700, 1.0, 0.0
1700, 1800, 1.0, 0.0
1800, 1900, 1.0, 0.0
1900, 1998, 1.0, 0.0
2000, 1998, 1.0, 0.0
2100, 1998, 1.0, 0.0
2200, 1998, 1.0, 0.0
2300, 1998, 1.0, 0.0
2400, 1998, 0.9986666666666667, 0.0
2500, 1998, 0.99875, 0.0
2600, 1998, 0.9988235294117647, 0.0
2700, 1998, 0.9988888888888889, 0.0
2800, 1998, 0.9989473684210526, 0.0
2900, 1998, 0.999, 0.0
3000, 1998, 0.9990476190476191, 0.0
3100, 1998, 0.9990909090909091, 0.0
3200, 1998, 0.9991304347826087, 0.0
3300, 1998, 0.9991666666666666, 0.0
3400, 1998, 0.9992, 0.0
3500, 1998, 0.9992307692307693, 0.0
3600, 1998, 0.9992592592592593, 0.0
3700, 1998, 0.9992857142857143, 0.0
3800, 1998, 0.9993103448275862, 0.0
3900, 1998, 0.9993333333333333, 0.0
4000, 1998, 0.9993548387096775, 0.0
4100, 1998, 0.999375, 0.0
4200, 1998, 0.9993939393939394, 0.0
4300, 1998, 0.9994117647058823, 0.0
4400, 1998, 0.9994285714285714, 0.0
4500, 1998, 0.9994444444444445, 0.0
4600, 1998, 0.9994594594594595, 0.0
4700, 1998, 0.9994736842105263, 0.0
4800, 1998, 0.9994871794871795, 0.0
4900, 1998, 0.99925, 0.0
5000, 1998, 0.9992682926829268, 0.0
5100, 1998, 0.9992857142857143, 0.0
5200, 1998, 0.9993023255813953, 0.0
5300, 1998, 0.9993181818181818, 0.0
5400, 1998, 0.9993333333333333, 0.0
5500, 1998, 0.9993478260869565, 0.0
5600, 1998, 0.9993617021276596, 0.0
5700, 1998, 0.999375, 0.0
5800, 1998, 0.9993877551020408, 0.0
5900, 1998, 0.9994, 0.0
6000, 1998, 0.9994117647058823, 0.0
6100, 1998, 0.999423076923077, 0.5
6200, 1998, 0.9994339622641509, 0.5
6300, 1998, 0.9992592592592593, 0.7142857142857143
6400, 1998, 0.9992727272727273, 0.8
6500, 1998, 0.9992857142857143, 0.8181818181818182
6600, 1998, 0.9992982456140351, 0.8461538461538461
6700, 1998, 0.9991379310344828, 0.8823529411764706
6800, 1998, 0.9989830508474576, 0.9047619047619048
6900, 1998, 0.999, 0.9130434782608695
7000, 1998, 0.9990163934426229, 0.9130434782608695
7100, 1998, 0.9990322580645161, 0.9130434782608695
7200, 1998, 0.9990476190476191, 0.9130434782608695
7300, 1998, 0.9990625, 0.9130434782608695
7400, 1998, 0.9990769230769231, 0.9130434782608695
7500, 1998, 0.9990909090909091, 0.9130434782608695
7600, 1998, 0.9991044776119403, 0.9130434782608695
7700, 1998, 0.9991176470588236, 0.9130434782608695
7800, 1998, 0.9991304347826087, 0.9130434782608695
7900, 1998, 0.9991428571428571, 0.9130434782608695
8000, 1998, 0.9991549295774648, 0.9130434782608695
8100, 1998, 0.9991666666666666, 0.9130434782608695
8200, 1998, 0.9991780821917808, 0.9166666666666666
8300, 1998, 0.9991891891891892, 0.9230769230769231
8400, 1998, 0.9990666666666667, 0.9230769230769231
8500, 1998, 0.9990789473684211, 0.9230769230769231
8600, 1998, 0.9990909090909091, 0.9285714285714286
8700, 1998, 0.9991025641025642, 0.9285714285714286
8800, 1998, 0.9991139240506329, 0.9333333333333333
8900, 1998, 0.999125, 0.9354838709677419
9000, 1998, 0.9991358024691358, 0.9375
9100, 1998, 0.9991463414634146, 0.9393939393939394
9200, 1998, 0.9991566265060241, 0.9411764705882353
9300, 1998, 0.9991666666666666, 0.9411764705882353
9400, 1998, 0.9991764705882353, 0.9428571428571428
9500, 1998, 0.9991860465116279, 0.9444444444444444
9600, 1998, 0.9991954022988506, 0.9444444444444444
9700, 1998, 0.9992045454545454, 0.9444444444444444
9800, 1998, 0.9992134831460674, 0.9444444444444444
9900, 1998, 0.9992222222222222, 0.9444444444444444
10000, 1998, 0.9992307692307693, 0.9444444444444444
10100, 1998, 0.9992391304347826, 0.9444444444444444
10200, 1998, 0.999247311827957, 0.9459459459459459
10300, 1998, 0.9992553191489362, 0.9459459459459459
10400, 1998, 0.9988421052631579, 0.875
10500, 1998, 0.99875, 0.8780487804878049
10600, 1998, 0.9985567010309279, 0.8837209302325582
10700, 1998, 0.9984693877551021, 0.8837209302325582
10800, 1998, 0.9984848484848485, 0.8913043478260869
10900, 1998, 0.9985, 0.8913043478260869
11000, 1998, 0.9985148514851485, 0.8913043478260869
11100, 1998, 0.9985294117647059, 0.8913043478260869
11200, 1998, 0.9985436893203884, 0.8913043478260869
11300, 1998, 0.9985576923076923, 0.8936170212765957
11400, 1998, 0.9985714285714286, 0.8936170212765957
11500, 1998, 0.9985849056603774, 0.8936170212765957
11600, 1998, 0.9985981308411215, 0.8936170212765957
11700, 1998, 0.9986111111111111, 0.8958333333333334
11800, 1998, 0.9986238532110092, 0.9
11900, 1998, 0.9986363636363637, 0.9
12000, 1998, 0.9986486486486487, 0.9019607843137255
12100, 1998, 0.9986607142857142, 0.9038461538461539
12200, 1998, 0.9986725663716814, 0.9056603773584906
12300, 1998, 0.9986842105263158, 0.9074074074074074
12400, 1998, 0.9986086956521739, 0.9074074074074074
12500, 1998, 0.9986206896551724, 0.9074074074074074
12600, 1998, 0.9986324786324786, 0.9074074074074074
12700, 1998, 0.9986440677966102, 0.9074074074074074
12800, 1998, 0.998655462184874, 0.9074074074074074
12900, 1998, 0.9986666666666667, 0.9074074074074074
13000, 1998, 0.998595041322314, 0.9074074074074074
13100, 1998, 0.9985245901639345, 0.9074074074074074
13200, 1998, 0.9985365853658537, 0.9074074074074074
13300, 1998, 0.9985483870967742, 0.9074074074074074
13400, 1998, 0.99856, 0.9074074074074074
13500, 1998, 0.9985714285714286, 0.9074074074074074
13600, 1998, 0.9985826771653543, 0.9074074074074074
13700, 1998, 0.99859375, 0.9074074074074074
13800, 1998, 0.9986046511627907, 0.9074074074074074
13900, 1998, 0.9986153846153846, 0.9074074074074074
14000, 1998, 0.9986259541984733, 0.9074074074074074
14100, 1998, 0.9975, 0.8596491228070176
14200, 1998, 0.9968421052631579, 0.8448275862068966
14300, 1998, 0.9967910447761194, 0.847457627118644
14400, 1998, 0.9966666666666667, 0.847457627118644
14500, 1998, 0.9966911764705882, 0.847457627118644
14600, 1998, 0.9967153284671533, 0.847457627118644
14700, 1998, 0.9967391304347826, 0.847457627118644
14800, 1998, 0.9967625899280576, 0.847457627118644
14900, 1998, 0.9967142857142857, 0.847457627118644
15000, 1998, 0.9966666666666667, 0.847457627118644
15100, 1998, 0.9966197183098592, 0.8333333333333334
15200, 1750, 0.9965034965034965, 0.8064516129032258
15300, 1850, 0.9965277777777778, 0.8064516129032258
15400, 1950, 0.9964137931034482, 0.78125
15500, 1706, 0.9962328767123287, 0.746268656716418
15600, 1806, 0.9962585034013606, 0.746268656716418
15700, 1906, 0.9962837837837838, 0.7571428571428571
15800, 1666, 0.996241610738255, 0.7464788732394366
15900, 1766, 0.9962666666666666, 0.7464788732394366
16000, 1866, 0.9962913907284768, 0.7464788732394366
16100, 1966, 0.99625, 0.7464788732394366
16200, 1727, 0.9962745098039215, 0.7464788732394366
16300, 1827, 0.9962987012987014, 0.7464788732394366
16400, 1927, 0.9962580645161291, 0.7361111111111112
16500, 1688, 0.9962820512820513, 0.7361111111111112
16600, 1788, 0.9963057324840764, 0.7361111111111112
16700, 1888, 0.9962658227848101, 0.726027397260274
16800, 1988, 0.9962264150943396, 0.7297297297297297
16900, 1752, 0.99625, 0.7297297297297297
17000, 1852, 0.9962732919254659, 0.7297297297297297
17100, 1952, 0.9962962962962963, 0.7297297297297297
17200, 1721, 0.996319018404908, 0.7297297297297297
17300, 1821, 0.9962804878048781, 0.7368421052631579
17400, 1921, 0.9963030303030304, 0.7468354430379747
17500, 1694, 0.9962650602409638, 0.7468354430379747
17600, 1794, 0.9962874251497006, 0.7468354430379747
17700, 1894, 0.9963095238095238, 0.7468354430379747
17800, 1994, 0.9963313609467456, 0.7468354430379747
17900, 1767, 0.9963529411764706, 0.7468354430379747
18000, 1867, 0.9963742690058479, 0.7468354430379747
18100, 1967, 0.9963953488372093, 0.7468354430379747
18200, 1741, 0.9964161849710983, 0.7468354430379747
18300, 1841, 0.9964367816091954, 0.7468354430379747
18400, 1941, 0.9964, 0.7530864197530864
18500, 1717, 0.9964204545454546, 0.7530864197530864
18600, 1817, 0.9963841807909605, 0.7530864197530864
18700, 1917, 0.9964044943820225, 0.7560975609756098
18800, 1693, 0.9963687150837989, 0.7469879518072289
18900, 1793, 0.9963888888888889, 0.7469879518072289
19000, 1893, 0.9964088397790055, 0.7469879518072289
19100, 1993, 0.9964285714285714, 0.7469879518072289
19200, 1774, 0.996448087431694, 0.7469879518072289
19300, 1874, 0.9964673913043478, 0.7469879518072289
19400, 1974, 0.9964864864864865, 0.7469879518072289
19500, 1755, 0.996505376344086, 0.7469879518072289
19600, 1855, 0.996524064171123, 0.7469879518072289
19700, 1955, 0.9964893617021277, 0.7469879518072289
19800, 1736, 0.9965079365079365, 0.7469879518072289
19900, 1836, 0.9965263157894737, 0.7469879518072289
20000, 1936, 0.996544502617801, 0.7469879518072289
20100, 1719, 0.9965104166666666, 0.7380952380952381
20200, 1819, 0.9964248704663212, 0.7380952380952381
20300, 1919, 0.9964432989690721, 0.7380952380952381
20400, 1704, 0.9964615384615385, 0.7380952380952381
20500, 1804, 0.9964795918367347, 0.7380952380952381
20600, 1904, 0.996497461928934, 0.7380952380952381
20700, 1689, 0.9965151515151515, 0.7380952380952381
20800, 1789, 0.996532663316583, 0.7380952380952381
