XGBoost Classifier
training step, window size, accuracy, recall
1000, 1100, 1.0, 0.0
1100, 1200, 1.0, 0.0
1200, 1300, 1.0, 0.0
1300, 1400, 1.0, 0.0
1400, 1500, 1.0, 0.0
1500, 1600, 1.0, 0.0
1600, 1700, 1.0, 0.0
1700, 1800, 1.0, 0.0
1800, 1900, 1.0, 0.0
1900, 1998, 1.0, 0.0
2000, 1998, 1.0, 0.0
2100, 1998, 1.0, 0.0
2200, 1998, 1.0, 0.0
2300, 1998, 0.9992857142857143, 0.0
2400, 1998, 0.9993333333333333, 0.0
2500, 1998, 0.999375, 0.0
2600, 1998, 0.9994117647058823, 0.0
2700, 1998, 0.9994444444444445, 0.0
2800, 1998, 0.9989473684210526, 0.0
2900, 1998, 0.999, 0.0
3000, 1998, 0.9990476190476191, 0.0
3100, 1998, 0.9990909090909091, 0.0
3200, 1998, 0.9991304347826087, 0.0
3300, 1998, 0.9991666666666666, 0.0
3400, 1998, 0.9992, 0.0
3500, 1998, 0.9992307692307693, 0.0
3600, 1998, 0.9988888888888889, 0.0
3700, 1998, 0.9989285714285714, 0.0
3800, 1998, 0.9989655172413793, 0.0
3900, 1998, 0.999, 0.0
4000, 1998, 0.9990322580645161, 0.0
4100, 1998, 0.9990625, 0.0
4200, 1998, 0.9990909090909091, 0.0
4300, 1998, 0.9991176470588236, 0.0
4400, 1998, 0.9991428571428571, 0.0
4500, 1998, 0.9991666666666666, 0.0
4600, 1998, 0.9991891891891892, 0.0
4700, 1998, 0.9992105263157894, 0.0
4800, 1998, 0.9992307692307693, 0.0
4900, 1998, 0.999, 0.0
5000, 1998, 0.9990243902439024, 0.0
5100, 1998, 0.9990476190476191, 0.0
5200, 1998, 0.9990697674418605, 0.0
5300, 1998, 0.9990909090909091, 0.0
5400, 1998, 0.9991111111111111, 0.0
5500, 1998, 0.9991304347826087, 0.0
5600, 1998, 0.9989361702127659, 0.0
5700, 1998, 0.9989583333333333, 0.0
5800, 1998, 0.9989795918367347, 0.0
5900, 1998, 0.999, 0.0
6000, 1998, 0.9990196078431373, 0.0
6100, 1998, 0.9990384615384615, 0.5
6200, 1998, 0.9990566037735849, 0.0
6300, 1998, 0.9988888888888889, 0.8571428571428571
6400, 1998, 0.9987272727272727, 0.8
6500, 1998, 0.99875, 0.8181818181818182
6600, 1998, 0.9987719298245614, 0.8461538461538461
6700, 1998, 0.9987931034482759, 0.8823529411764706
6800, 1998, 0.9986440677966102, 0.9047619047619048
6900, 1701, 0.9985, 0.9130434782608695
7000, 1801, 0.9985245901639345, 0.0
7100, 1901, 0.9985483870967742, 0.0
7200, 1604, 0.9985714285714286, 0.0
7300, 1704, 0.99859375, 0.0
7400, 1804, 0.9986153846153846, 0.0
7500, 1904, 0.9986363636363637, 0.0
7600, 1607, 0.9986567164179104, 0.0
7700, 1707, 0.9986764705882353, 0.0
7800, 1807, 0.9986956521739131, 0.0
7900, 1907, 0.9987142857142857, 0.0
8000, 1619, 0.9987323943661972, 0.0
8100, 1719, 0.99875, 0.0
8200, 1819, 0.9987671232876713, 0.9166666666666666
8300, 1919, 0.9986486486486487, 0.9230769230769231
8400, 1640, 0.9985333333333334, 0.0
8500, 1740, 0.9985526315789474, 0.0
8600, 1840, 0.9984415584415585, 0.9285714285714286
8700, 1940, 0.9984615384615385, 0.0
8800, 1998, 0.9984810126582279, 0.9333333333333333
8900, 1723, 0.9985, 0.9354838709677419
9000, 1823, 0.9985185185185185, 0.9375
9100, 1923, 0.9985365853658537, 0.9393939393939394
9200, 1999, 0.9985542168674699, 0.9411764705882353
9300, 1724, 0.9985714285714286, 0.0
9400, 1824, 0.9984705882352941, 0.9428571428571428
9500, 1924, 0.9984883720930232, 0.9444444444444444
9600, 1649, 0.9983908045977011, 0.0
9700, 1749, 0.9984090909090909, 0.0
9800, 1849, 0.9984269662921348, 0.0
9900, 1949, 0.9984444444444445, 0.0
10000, 1677, 0.9983516483516484, 0.0
10100, 1777, 0.9983695652173913, 0.0
10200, 1877, 0.9983870967741936, 0.9459459459459459
10300, 1977, 0.9982978723404256, 0.0
10400, 1707, 0.9978947368421053, 0.875
10500, 1807, 0.9978125, 0.8780487804878049
10600, 1907, 0.997319587628866, 0.8604651162790697
10700, 1642, 0.9971428571428571, 0.0
10800, 1742, 0.9971717171717172, 0.8695652173913043
10900, 1842, 0.9971, 0.0
11000, 1942, 0.9971287128712871, 0.0
11100, 1680, 0.9971568627450981, 0.0
11200, 1780, 0.9970873786407767, 0.0
11300, 1880, 0.9970192307692308, 0.8723404255319149
11400, 1980, 0.9970476190476191, 0.0
11500, 1718, 0.9970754716981132, 0.0
11600, 1818, 0.9971028037383177, 0.0
11700, 1918, 0.9971296296296296, 0.875
11800, 1998, 0.9971559633027522, 0.88
11900, 1737, 0.9971818181818182, 0.0
12000, 1837, 0.9971171171171171, 0.8823529411764706
12100, 1937, 0.9970535714285714, 0.8846153846153846
12200, 1999, 0.9969911504424779, 0.8867924528301887
12300, 1744, 0.9969298245614036, 0.8888888888888888
12400, 1844, 0.9969565217391304, 0.0
12500, 1944, 0.9969827586206896, 0.0
12600, 1692, 0.9969230769230769, 0.0
12700, 1792, 0.9969491525423729, 0.0
12800, 1892, 0.9969747899159664, 0.0
12900, 1992, 0.9969166666666667, 0.0
13000, 1741, 0.9969421487603306, 0.0
13100, 1841, 0.9967213114754099, 0.0
13200, 1941, 0.9967479674796748, 0.0
13300, 1691, 0.9967741935483871, 0.0
13400, 1791, 0.9968, 0.0
13500, 1891, 0.9968253968253968, 0.0
13600, 1991, 0.9968503937007874, 0.0
13700, 1745, 0.996796875, 0.0
13800, 1845, 0.9968217054263566, 0.0
13900, 1945, 0.9968461538461538, 0.0
14000, 1701, 0.9966412213740458, 0.0
14100, 1801, 0.9965151515151515, 0.8596491228070176
14200, 1901, 0.9963157894736843, 0.8620689655172413
14300, 1999, 0.996268656716418, 0.864406779661017
14400, 1755, 0.9961481481481481, 0.0
14500, 1855, 0.9961764705882353, 0.0
14600, 1955, 0.9962043795620438, 0.0
14700, 1711, 0.996231884057971, 0.0
14800, 1811, 0.9962589928057554, 0.0
14900, 1911, 0.9960714285714286, 0.0
15000, 1667, 0.9960992907801418, 0.0
15100, 1767, 0.9960563380281691, 0.8666666666666667
15200, 1867, 0.9960839160839161, 0.8709677419354839
15300, 1967, 0.9960416666666667, 0.0
15400, 1723, 0.9960689655172413, 0.875
15500, 1823, 0.9959589041095891, 0.8507462686567164
15600, 1923, 0.9959863945578231, 0.0
15700, 1999, 0.995945945945946, 0.8571428571428571
15800, 1758, 0.9959060402684564, 0.8591549295774648
15900, 1858, 0.9959333333333333, 0.0
16000, 1958, 0.9959602649006623, 0.0
16100, 1719, 0.9959210526315789, 0.0
16200, 1819, 0.9959477124183006, 0.0
16300, 1919, 0.995974025974026, 0.0
16400, 1999, 0.996, 0.8611111111111112
16500, 1760, 0.9959615384615385, 0.0
16600, 1860, 0.9958598726114649, 0.0
16700, 1960, 0.9956962025316456, 0.8493150684931506
16800, 1724, 0.9957232704402516, 0.8513513513513513
16900, 1824, 0.99575, 0.0
17000, 1924, 0.9957763975155279, 0.0
17100, 1693, 0.9958024691358025, 0.0
17200, 1793, 0.9958282208588957, 0.0
17300, 1893, 0.9957317073170732, 0.8289473684210527
17400, 1993, 0.9957575757575757, 0.8354430379746836
17500, 1766, 0.9957831325301205, 0.0
17600, 1866, 0.9958083832335329, 0.0
17700, 1966, 0.9958333333333333, 0.0
17800, 1739, 0.9958579881656805, 0.0
17900, 1839, 0.9958823529411764, 0.0
18000, 1939, 0.9958479532163743, 0.0
18100, 1713, 0.9958720930232559, 0.0
18200, 1813, 0.9958959537572254, 0.0
18300, 1913, 0.995919540229885, 0.0
18400, 1689, 0.9958285714285714, 0.8271604938271605
18500, 1789, 0.9958522727272727, 0.0
18600, 1889, 0.9958757062146892, 0.0
18700, 1989, 0.9958988764044944, 0.8292682926829268
18800, 1999, 0.9959217877094972, 0.8313253012048193
18900, 1775, 0.9959444444444444, 0.0
19000, 1875, 0.9959668508287293, 0.0
19100, 1975, 0.9958791208791209, 0.0
19200, 1756, 0.9959016393442623, 0.0
19300, 1856, 0.9958695652173913, 0.0
19400, 1956, 0.9958918918918919, 0.0
19500, 1737, 0.9959139784946237, 0.0
19600, 1837, 0.9959358288770054, 0.0
19700, 1937, 0.995904255319149, 0.0
19800, 1718, 0.9958730158730159, 0.0
19900, 1818, 0.9958947368421053, 0.0
20000, 1918, 0.9959162303664921, 0.0
20100, 1701, 0.9958854166666666, 0.8214285714285714
20200, 1801, 0.9958031088082901, 0.0
20300, 1901, 0.9958247422680412, 0.0
20400, 1686, 0.9956410256410256, 0.0
20500, 1786, 0.9956632653061225, 0.0
20600, 1886, 0.9956852791878172, 0.0
20700, 1986, 0.9957070707070707, 0.0
20800, 1771, 0.9957286432160805, 0.0
20900, 1871, 0.99575, 0.0
21000, 1971, 0.9957711442786069, 0.0
21100, 1756, 0.9957920792079208, 0.0
21200, 1856, 0.9957635467980296, 0.0
21300, 1956, 0.9957843137254901, 0.0
21400, 1741, 0.9958048780487805, 0.0
21500, 1841, 0.9958252427184466, 0.0
21600, 1941, 0.9958454106280193, 0.0
21700, 1726, 0.9958653846153847, 0.0
21800, 1826, 0.9958851674641148, 0.0
21900, 1926, 0.995904761904762, 0.0
22000, 1712, 0.9959241706161137, 0.0
22100, 1812, 0.9958962264150943, 0.0
22200, 1912, 0.9958215962441315, 0.0
22300, 1698, 0.9957943925233644, 0.0
22400, 1798, 0.9958139534883721, 0.0
22500, 1898, 0.9958333333333333, 0.0
22600, 1998, 0.9958064516129033, 0.0
22700, 1784, 0.9958256880733944, 0.0
22800, 1884, 0.9958447488584475, 0.0
22900, 1984, 0.9958636363636364, 0.0
23000, 1770, 0.9958823529411764, 0.0
